Year,Pathogen,Specimen,Location,Antibiotic,Resistance_Percentage
2021,Staphylococcus aureus,Blood+PA+OSBF,Overall,Cefoxitin (MRSA),20.0
2021,Staphylococcus aureus,Blood+PA+OSBF,Overall,Amikacin,12.0
2021,Staphylococcus aureus,Blood+PA+OSBF,Overall,Gentamicin,19.0
2021,Staphylococcus aureus,Blood+PA+OSBF,Overall,Ciprofloxacin,43.0
2021,Staphylococcus aureus,Blood+PA+OSBF,Overall,TMP-SMX,17.0
2021,Staphylococcus aureus,Blood+PA+OSBF,Overall,Clindamycin,19.0
2021,Staphylococcus aureus,Blood+PA+OSBF,Overall,Erythromycin,54.0
2021,Staphylococcus aureus,Blood+PA+OSBF,Overall,Linezolid,0.0
2021,Staphylococcus aureus,Blood+PA+OSBF,Overall,Doxycycline,4.0
2021,Staphylococcus aureus,Blood,Overall,Cefoxitin (MRSA),22.0
2021,Staphylococcus aureus,Blood,Overall,Amikacin,4.0
2021,Staphylococcus aureus,Blood,Overall,Gentamicin,18.0
2021,Staphylococcus aureus,Blood,Overall,Ciprofloxacin,40.0
2021,Staphylococcus aureus,Blood,Overall,TMP-SMX,21.0
2021,Staphylococcus aureus,Blood,Overall,Clindamycin,26.0
2021,Staphylococcus aureus,Blood,Overall,Erythromycin,64.0
2021,Staphylococcus aureus,Blood,Overall,Linezolid,0.0
2021,Staphylococcus aureus,Blood,Overall,Doxycycline,3.0
2021,Staphylococcus aureus,PA+OSBF,Overall,Cefoxitin (MRSA),19.0
2021,Staphylococcus aureus,PA+OSBF,Overall,Amikacin,13.0
2021,Staphylococcus aureus,PA+OSBF,Overall,Gentamicin,19.0
2021,Staphylococcus aureus,PA+OSBF,Overall,Ciprofloxacin,44.0
2021,Staphylococcus aureus,PA+OSBF,Overall,TMP-SMX,16.0
2021,Staphylococcus aureus,PA+OSBF,Overall,Clindamycin,18.0
2021,Staphylococcus aureus,PA+OSBF,Overall,Erythromycin,53.0
2021,Staphylococcus aureus,PA+OSBF,Overall,Linezolid,0.0
2021,Staphylococcus aureus,PA+OSBF,Overall,Doxycycline,4.0
2021,Staphylococcus aureus,Blood,ICU,Cefoxitin (MRSA),18.0
2021,Staphylococcus aureus,Blood,IPD,Cefoxitin (MRSA),18.0
2021,Staphylococcus aureus,Blood,OPD,Cefoxitin (MRSA),19.0
2021,Staphylococcus aureus,Blood,ICU,Amikacin,10.0
2021,Staphylococcus aureus,Blood,IPD,Amikacin,13.0
2021,Staphylococcus aureus,Blood,OPD,Amikacin,12.0
2021,Staphylococcus aureus,Blood,ICU,Gentamicin,17.0
2021,Staphylococcus aureus,Blood,IPD,Gentamicin,16.0
2021,Staphylococcus aureus,Blood,OPD,Gentamicin,19.0
2021,Staphylococcus aureus,Blood,ICU,Ciprofloxacin,45.0
2021,Staphylococcus aureus,Blood,IPD,Ciprofloxacin,47.0
2021,Staphylococcus aureus,Blood,OPD,Ciprofloxacin,38.0
2021,Staphylococcus aureus,Blood,ICU,TMP-SMX,22.0
2021,Staphylococcus aureus,Blood,IPD,TMP-SMX,15.0
2021,Staphylococcus aureus,Blood,OPD,TMP-SMX,18.0
2021,Staphylococcus aureus,Blood,ICU,Clindamycin,17.0
2021,Staphylococcus aureus,Blood,IPD,Clindamycin,20.0
2021,Staphylococcus aureus,Blood,OPD,Clindamycin,17.0
2021,Staphylococcus aureus,Blood,ICU,Erythromycin,56.0
2021,Staphylococcus aureus,Blood,IPD,Erythromycin,48.0
2021,Staphylococcus aureus,Blood,OPD,Erythromycin,56.0
2021,Staphylococcus aureus,Blood,ICU,Linezolid,0.0
2021,Staphylococcus aureus,Blood,IPD,Linezolid,0.0
2021,Staphylococcus aureus,Blood,OPD,Linezolid,0.0
2021,Staphylococcus aureus,Blood,ICU,Doxycycline,0.0
2021,Staphylococcus aureus,Blood,IPD,Doxycycline,2.0
2021,Staphylococcus aureus,Blood,OPD,Doxycycline,3.0
2021,Enterococcus spp.,All Specimens,Overall,Ampicillin,33.0
2021,Enterococcus spp.,All Specimens,Overall,Gentamicin-High Level,35.0
2021,Enterococcus spp.,All Specimens,Overall,Ciprofloxacin,63.0
2021,Enterococcus spp.,All Specimens,Overall,Erythromycin,75.0
2021,Enterococcus spp.,All Specimens,Overall,Linezolid,2.0
2021,Enterococcus spp.,All Specimens,Overall,Vancomycin,5.0
2021,Enterococcus spp.,All Specimens,Overall,Doxycycline,57.0
2021,Enterococcus spp.,All Specimens,Overall,Tetracycline,69.0
2021,Enterococcus spp.,PA+OSBF,Overall,Ampicillin,22.0
2021,Enterococcus spp.,PA+OSBF,Overall,Gentamicin-High Level,23.0
2021,Enterococcus spp.,PA+OSBF,Overall,Ciprofloxacin,42.0
2021,Enterococcus spp.,PA+OSBF,Overall,Erythromycin,72.0
2021,Enterococcus spp.,PA+OSBF,Overall,Linezolid,2.0
2021,Enterococcus spp.,PA+OSBF,Overall,Vancomycin,3.0
2021,Enterococcus spp.,PA+OSBF,Overall,Doxycycline,57.0
2021,Enterococcus spp.,PA+OSBF,Overall,Tetracycline,59.0
2021,Enterococcus spp.,Blood,Overall,Ampicillin,60.0
2021,Enterococcus spp.,Blood,Overall,Gentamicin-High Level,52.0
2021,Enterococcus spp.,Blood,Overall,Ciprofloxacin,58.0
2021,Enterococcus spp.,Blood,Overall,Erythromycin,82.0
2021,Enterococcus spp.,Blood,Overall,Linezolid,2.0
2021,Enterococcus spp.,Blood,Overall,Vancomycin,6.0
2021,Enterococcus spp.,Blood,Overall,Doxycycline,65.0
2021,Enterococcus spp.,Blood,Overall,Tetracycline,81.0
2021,Enterococcus spp.,Urine,Overall,Ampicillin,34.0
2021,Enterococcus spp.,Urine,Overall,Gentamicin-High Level,41.0
2021,Enterococcus spp.,Urine,Overall,Ciprofloxacin,69.0
2021,Enterococcus spp.,Urine,Overall,Erythromycin,73.0
2021,Enterococcus spp.,Urine,Overall,Linezolid,3.0
2021,Enterococcus spp.,Urine,Overall,Vancomycin,6.0
2021,Enterococcus spp.,Urine,Overall,Doxycycline,38.0
2021,Enterococcus spp.,Urine,Overall,Tetracycline,70.0
2021,Enterococcus spp.,Blood+PA+OSBF,ICU,Ampicillin,36.0
2021,Enterococcus spp.,Blood+PA+OSBF,IPD,Ampicillin,61.0
2021,Enterococcus spp.,Blood+PA+OSBF,OPD,Ampicillin,10.0
2021,Enterococcus spp.,Blood+PA+OSBF,ICU,Gentamicin-High Level,32.0
2021,Enterococcus spp.,Blood+PA+OSBF,IPD,Gentamicin-High Level,51.0
2021,Enterococcus spp.,Blood+PA+OSBF,OPD,Gentamicin-High Level,19.0
2021,Enterococcus spp.,Blood+PA+OSBF,ICU,Ciprofloxacin,49.0
2021,Enterococcus spp.,Blood+PA+OSBF,IPD,Ciprofloxacin,72.0
2021,Enterococcus spp.,Blood+PA+OSBF,OPD,Ciprofloxacin,29.0
2021,Enterococcus spp.,Blood+PA+OSBF,ICU,Erythromycin,78.0
2021,Enterococcus spp.,Blood+PA+OSBF,IPD,Erythromycin,85.0
2021,Enterococcus spp.,Blood+PA+OSBF,OPD,Erythromycin,61.0
2021,Enterococcus spp.,Blood+PA+OSBF,ICU,Linezolid,1.0
2021,Enterococcus spp.,Blood+PA+OSBF,IPD,Linezolid,4.0
2021,Enterococcus spp.,Blood+PA+OSBF,OPD,Linezolid,3.0
2021,Enterococcus spp.,Blood+PA+OSBF,ICU,Vancomycin,3.0
2021,Enterococcus spp.,Blood+PA+OSBF,IPD,Vancomycin,5.0
2021,Enterococcus spp.,Blood+PA+OSBF,OPD,Vancomycin,4.0
2021,Enterococcus spp.,Blood+PA+OSBF,ICU,Doxycycline,62.0
2021,Enterococcus spp.,Blood+PA+OSBF,IPD,Doxycycline,68.0
2021,Enterococcus spp.,Blood+PA+OSBF,OPD,Doxycycline,44.0
2021,Enterococcus spp.,Blood+PA+OSBF,ICU,Tetracycline,75.0
2021,Enterococcus spp.,Blood+PA+OSBF,IPD,Tetracycline,89.0
2021,Enterococcus spp.,Blood+PA+OSBF,OPD,Tetracycline,35.0
2021,Enterococcus spp.,Urine,ICU,Ampicillin,36.0
2021,Enterococcus spp.,Urine,IPD,Ampicillin,48.0
2021,Enterococcus spp.,Urine,OPD,Ampicillin,20.0
2021,Enterococcus spp.,Urine,ICU,Gentamicin-High Level,39.0
2021,Enterococcus spp.,Urine,IPD,Gentamicin-High Level,62.0
2021,Enterococcus spp.,Urine,OPD,Gentamicin-High Level,30.0
2021,Enterococcus spp.,Urine,ICU,Ciprofloxacin,71.0
2021,Enterococcus spp.,Urine,IPD,Ciprofloxacin,85.0
2021,Enterococcus spp.,Urine,OPD,Ciprofloxacin,55.0
2021,Enterococcus spp.,Urine,ICU,Linezolid,1.0
2021,Enterococcus spp.,Urine,IPD,Linezolid,2.0
2021,Enterococcus spp.,Urine,OPD,Linezolid,7.0
2021,Enterococcus spp.,Urine,ICU,Vancomycin,3.0
2021,Enterococcus spp.,Urine,IPD,Vancomycin,8.0
2021,Enterococcus spp.,Urine,OPD,Vancomycin,9.0
2021,Enterococcus spp.,Urine,ICU,Doxycycline,29.0
2021,Enterococcus spp.,Urine,IPD,Doxycycline,0.0
2021,Enterococcus spp.,Urine,OPD,Doxycycline,80.0
2021,Enterococcus spp.,Urine,ICU,Tetracycline,68.0
2021,Enterococcus spp.,Urine,IPD,Tetracycline,78.0
2021,Enterococcus spp.,Urine,OPD,Tetracycline,67.0
2021,Escherichia coli,All Specimens,Overall,Ampicillin,83.0
2021,Escherichia coli,All Specimens,Overall,Cefoperazone-Sulbactam,8.0
2021,Escherichia coli,All Specimens,Overall,Piperacillin-Tazobactam,18.0
2021,Escherichia coli,All Specimens,Overall,Cefotaxime,62.0
2021,Escherichia coli,All Specimens,Overall,Cefepime,48.0
2021,Escherichia coli,All Specimens,Overall,Imipenem,10.0
2021,Escherichia coli,All Specimens,Overall,Meropenem,9.0
2021,Escherichia coli,All Specimens,Overall,Amikacin,15.0
2021,Escherichia coli,All Specimens,Overall,Gentamicin,28.0
2021,Escherichia coli,All Specimens,Overall,Ciprofloxacin,61.0
2021,Escherichia coli,All Specimens,Overall,TMP-SMX,53.0
2021,Escherichia coli,All Specimens,Overall,Fosfomycin,7.0
2021,Escherichia coli,All Specimens,Overall,Nitrofurantoin,11.0
2021,Escherichia coli,PA+OSBF,Overall,Ampicillin,84.0
2021,Escherichia coli,PA+OSBF,Overall,Cefoperazone-Sulbactam,5.0
2021,Escherichia coli,PA+OSBF,Overall,Piperacillin-Tazobactam,20.0
2021,Escherichia coli,PA+OSBF,Overall,Cefotaxime,58.0
2021,Escherichia coli,PA+OSBF,Overall,Cefepime,46.0
2021,Escherichia coli,PA+OSBF,Overall,Imipenem,9.0
2021,Escherichia coli,PA+OSBF,Overall,Meropenem,10.0
2021,Escherichia coli,PA+OSBF,Overall,Amikacin,16.0
2021,Escherichia coli,PA+OSBF,Overall,Gentamicin,31.0
2021,Escherichia coli,PA+OSBF,Overall,Ciprofloxacin,62.0
2021,Escherichia coli,PA+OSBF,Overall,TMP-SMX,52.0
2021,Escherichia coli,Blood,Overall,Ampicillin,84.0
2021,Escherichia coli,Blood,Overall,Cefoperazone-Sulbactam,9.0
2021,Escherichia coli,Blood,Overall,Piperacillin-Tazobactam,24.0
2021,Escherichia coli,Blood,Overall,Cefotaxime,66.0
2021,Escherichia coli,Blood,Overall,Cefepime,48.0
2021,Escherichia coli,Blood,Overall,Imipenem,10.0
2021,Escherichia coli,Blood,Overall,Meropenem,10.0
2021,Escherichia coli,Blood,Overall,Amikacin,19.0
2021,Escherichia coli,Blood,Overall,Gentamicin,33.0
2021,Escherichia coli,Blood,Overall,Ciprofloxacin,64.0
2021,Escherichia coli,Blood,Overall,TMP-SMX,56.0
2021,Escherichia coli,Urine,Overall,Ampicillin,82.0
2021,Escherichia coli,Urine,Overall,Cefoperazone-Sulbactam,8.0
2021,Escherichia coli,Urine,Overall,Piperacillin-Tazobactam,17.0
2021,Escherichia coli,Urine,Overall,Cefotaxime,62.0
2021,Escherichia coli,Urine,Overall,Cefepime,48.0
2021,Escherichia coli,Urine,Overall,Imipenem,10.0
2021,Escherichia coli,Urine,Overall,Meropenem,8.0
2021,Escherichia coli,Urine,Overall,Amikacin,15.0
2021,Escherichia coli,Urine,Overall,Gentamicin,27.0
2021,Escherichia coli,Urine,Overall,Ciprofloxacin,61.0
2021,Escherichia coli,Urine,Overall,TMP-SMX,53.0
2021,Escherichia coli,Urine,Overall,Fosfomycin,7.0
2021,Escherichia coli,Urine,Overall,Nitrofurantoin,11.0
2021,Escherichia coli,All Specimens,ICU,Ampicillin,89.0
2021,Escherichia coli,All Specimens,IPD,Ampicillin,84.0
2021,Escherichia coli,All Specimens,OPD,Ampicillin,80.0
2021,Escherichia coli,All Specimens,ICU,Cefoperazone-Sulbactam,12.0
2021,Escherichia coli,All Specimens,IPD,Cefoperazone-Sulbactam,8.0
2021,Escherichia coli,All Specimens,OPD,Cefoperazone-Sulbactam,3.0
2021,Escherichia coli,All Specimens,ICU,Piperacillin-Tazobactam,27.0
2021,Escherichia coli,All Specimens,IPD,Piperacillin-Tazobactam,21.0
2021,Escherichia coli,All Specimens,OPD,Piperacillin-Tazobactam,15.0
2021,Escherichia coli,All Specimens,ICU,Cefotaxime,71.0
2021,Escherichia coli,All Specimens,IPD,Cefotaxime,64.0
2021,Escherichia coli,All Specimens,OPD,Cefotaxime,60.0
2021,Escherichia coli,All Specimens,ICU,Ertapenem,15.0
2021,Escherichia coli,All Specimens,IPD,Ertapenem,7.0
2021,Escherichia coli,All Specimens,OPD,Ertapenem,5.0
2021,Escherichia coli,All Specimens,ICU,Imipenem,16.0
2021,Escherichia coli,All Specimens,IPD,Imipenem,11.0
2021,Escherichia coli,All Specimens,OPD,Imipenem,8.0
2021,Escherichia coli,All Specimens,ICU,Meropenem,19.0
2021,Escherichia coli,All Specimens,IPD,Meropenem,10.0
2021,Escherichia coli,All Specimens,OPD,Meropenem,5.0
2021,Escherichia coli,All Specimens,ICU,Amikacin,18.0
2021,Escherichia coli,All Specimens,IPD,Amikacin,16.0
2021,Escherichia coli,All Specimens,OPD,Amikacin,13.0
2021,Escherichia coli,All Specimens,ICU,Gentamicin,33.0
2021,Escherichia coli,All Specimens,IPD,Gentamicin,31.0
2021,Escherichia coli,All Specimens,OPD,Gentamicin,25.0
2021,Escherichia coli,All Specimens,ICU,Ciprofloxacin,68.0
2021,Escherichia coli,All Specimens,IPD,Ciprofloxacin,64.0
2021,Escherichia coli,All Specimens,OPD,Ciprofloxacin,58.0
2021,Escherichia coli,All Specimens,ICU,TMP-SMX,59.0
2021,Escherichia coli,All Specimens,IPD,TMP-SMX,51.0
2021,Escherichia coli,All Specimens,OPD,TMP-SMX,55.0
2021,Escherichia coli,All Specimens,ICU,Fosfomycin,0.0
2021,Escherichia coli,All Specimens,IPD,Fosfomycin,1.0
2021,Escherichia coli,All Specimens,OPD,Fosfomycin,8.0
2021,Escherichia coli,All Specimens,ICU,Nitrofurantoin,7.0
2021,Escherichia coli,All Specimens,IPD,Nitrofurantoin,12.0
